Period,Exporter,Importer,Qty_asperE,Qty_asperI,PrimaryValue_asperE,PrimaryValue_asperI,Qty_mean
2019,AUS,ARE,4.7951e8,4.218132e8,1.74912109561e8,2.23514784906e8,4.506616e8
2019,AUS,GBR,14.0,0.0,2433.079,0.0,14.0
2019,AUS,_X ,5.58001e9,0.0,2.329262458429e9,0.0,5.58001e9
2019,CMR,CAF,0.0,164800.0,0.0,63693.35,164800.0
2019,CHN,CAF,0.0,68000.0,0.0,17429.331,68000.0
2019,BGD,LKA,0.0,0.4,0.0,1.868,0.4
2019,CHN,LKA,0.0,69.55,0.0,62.2,69.55
2019,ITA,LKA,0.0,1680.0,0.0,8562.264,1680.0
2019,MYS,LKA,0.0,485.0,0.0,1416.544,485.0
2019,IND,LKA,0.0,9.5,0.0,39.522,9.5
2019,SGP,LKA,0.0,2.3,0.0,11.985,2.3
2019,ARE,LKA,0.0,1.8285300051e9,0.0,7.49645135266e8,1.8285300051e9
2019,USA,LKA,0.0,4389.03,0.0,23433.327,4389.03
2019,COL,CHL,0.0,1.394655e8,0.0,5.961546223e7,1.394655e8
2019,ECU,CHL,0.0,3.2954957e9,0.0,1.37377598775e9,3.2954957e9
2019,PER,CHL,2.15185e8,2.049238e8,8.686101279e7,8.635736941e7,2.100544e8
2019,USA,CHL,1.785828018605e9,1.596501048979e9,8.36507706e8,8.2241227114e8,1.691164533792e9
2019,ALB,CHN,0.0,13.0,0.0,298.0,13.0
2019,DZA,CHN,0.0,5.39246e8,0.0,2.98817302e8,5.39246e8
2019,AZE,CHN,0.0,1.48951e9,0.0,8.24213153e8,1.48951e9
2019,ARG,CHN,0.0,4.57298e8,0.0,2.07862265e8,4.57298e8
2019,CAN,CHN,4.13022613338e8,2.1501603e9,1.93465773417e8,8.99587252e8,1.281591456669e9
2019,TCD,CHN,0.0,9.40018e8,0.0,4.51197175e8,9.40018e8
2019,COL,CHN,0.0,1.3113199e10,0.0,5.558900525e9,1.3113199e10
2019,COG,CHN,6.43496388e9,1.1957792e10,3.018931476433e9,5.712544976e9,9.19637794e9
2019,COD,CHN,0.0,8.2302e8,0.0,4.15027871e8,8.2302e8
2019,ECU,CHN,0.0,2.0509034e9,0.0,8.86034827e8,2.0509034e9
2019,GNQ,CHN,0.0,2.492177e9,0.0,1.257734229e9,2.492177e9
2019,GAB,CHN,6.308618e9,6.933954e9,2.91923626148e9,3.495255571e9,6.621286e9
2019,GHA,CHN,0.0,3.595806e9,0.0,1.822030222e9,3.595806e9
2019,IDN,CHN,2.09383e8,2.804362e8,9.735839554e7,1.40593368e8,2.449096e8
2019,IRN,CHN,0.0,1.4770561e10,7.3967577025e9,7.080340181e9,1.4770561e10
2019,IRQ,CHN,0.0,5.179804e10,0.0,2.3850151714e10,5.179804e10
2019,CIV,CHN,1.38431e8,1.38431e8,6.3179817014e7,6.5744062e7,1.38431e8
2019,KAZ,CHN,2.460428e9,2.7428867e9,1.1792327671e9,1.332145461e9,2.60165735e9
2019,KWT,CHN,0.0,2.268875e10,0.0,1.0814354276e10,2.268875e10
2019,LBY,CHN,1.3287e10,9.400963e9,6.2931082632e9,4.816400597e9,1.13439815e10
2019,MYS,CHN,1.05263e8,1.2033632e10,5.4131907016e7,5.620412078e9,6.0694475e9
2019,MEX,CHN,0.0,4.798877e8,0.0,2.06991366e8,4.798877e8
2019,MNG,CHN,0.0,8.945334e8,0.0,3.6205936e8,8.945334e8
2019,OMN,CHN,0.0,3.386638e10,0.0,1.6578833485e10,3.386638e10
2019,NER,CHN,0.0,234.0,0.0,427.0,234.0
2019,NGA,CHN,0.0,2.4360803e9,9.7080952243e8,1.210113954e9,2.4360803e9
2019,NOR,CHN,2.95047786e9,1.0181796e9,1.436048223798e9,4.97154806e8,1.98432873e9
2019,PHL,CHN,4.9151352e7,3.40493e7,9.0e6,1.9819005e7,4.1600326e7
2019,QAT,CHN,7.175102e8,8.583096e8,3.62273144593e8,4.31998922e8,7.879099e8
2019,RUS,CHN,7.063993e10,7.76424e10,3.367567620843e10,3.7424058343e10,7.4141165e10
2019,SAU,CHN,0.0,8.332956e10,0.0,4.0174670196e10,8.332956e10
2019,VNM,CHN,1.1404222e9,1.1774582e9,5.7358197818e8,6.16410191e8,1.1589402e9
2019,SSD,CHN,0.0,3.235624e9,0.0,1.533176767e9,3.235624e9
2019,SDN,CHN,0.0,6.31194822e8,0.0,3.15549363e8,6.31194822e8
2019,THA,CHN,6.961521568989999e8,7.3178e8,2.9766205371e8,3.532112e8,7.139660784495e8
2019,ARE,CHN,5.68752e7,1.5279577e10,2.6743016136e7,7.526757616e9,7.6682261e9
2019,EGY,CHN,2.50978465139e8,7.951893e8,1.17561947703e8,3.89601816e8,5.2308388256949997e8
2019,GBR,CHN,1.0752832e10,1.2543609e10,5.323294288233e9,6.406397677e9,1.16482205e10
2019,USA,CHN,6.194117016981e9,6.3486726e9,2.901414113e9,3.318056182e9,6.2713948084904995e9
2019,VEN,CHN,0.0,1.1384982e10,0.0,4.494510431e9,1.1384982e10
2019,YEM,CHN,0.0,1.7552217e9,0.0,8.61225776e8,1.7552217e9
2019,CHN,CRI,0.0,91.554,0.0,1630.72,91.554
2019,PAN,CRI,0.0,983.0,0.0,6039.83,983.0
2019,USA,CRI,0.0,235.292,0.0,4622.6,235.292
2019,AZE,HRV,0.0,8.890935e8,0.0,4.4456724e8,8.890935e8
2019,HUN,HRV,0.0,3.31856e6,0.0,1.582357e6,3.31856e6
2019,IRQ,HRV,0.0,3.382582e8,0.0,1.38983882e8,3.382582e8
2019,ITA,HRV,1.75331e6,1.163952e6,669198.21,422999.0,1.458631e6
2019,KAZ,HRV,2.27253e8,1.5879e7,1.088226001e8,7.993401e6,1.21566e8
2019,LBY,HRV,1.8964e8,2.9688703e8,9.6077351792e7,1.49608568e8,2.43263515e8
2019,NGA,HRV,0.0,4.9193e7,2.7587813e7,2.4081667e7,4.9193e7
